id,entity,amount,currency,status,order_id,invoice_id,description,method,international,refund_status,amount_refunded,captured,email,contact,fee,tax,created_at,card_id,card_network,card_type,bank,contract_fee_rate,applied_fee_rate,base_fee,anomaly_type
pay_EH24010400001,payment,1237000,INR,captured,order_EH24010400001,inv_EH24010400001,Online electronics order,upi,false,partial,840000,true,customer1@example.com,+919000000000,22266,0,1704362400,,,,,0.018,0.018,222.66,
pay_EH24011200002,payment,1140000,INR,captured,order_EH24011200002,inv_EH24011200002,Online electronics order,netbanking,false,null,0,true,customer2@example.com,+919000000001,20520,0,1705057260,,,,,0.018,0.018,205.2,
pay_EH24012400003,payment,309000,INR,captured,order_EH24012400003,inv_EH24012400003,Online electronics order,upi,false,null,0,true,customer3@example.com,+919000000002,5562,0,1706097720,,,,,0.018,0.018,55.62,
pay_EH24010100004,payment,548000,INR,captured,order_EH24010100004,inv_EH24010100004,Online electronics order,upi,false,full,548000,true,customer4@example.com,+919000000003,9864,0,1704114180,,,,,0.018,0.018,98.64,
pay_EH24011500005,payment,492000,INR,captured,order_EH24011500005,inv_EH24011500005,Online electronics order,upi,false,null,0,true,customer5@example.com,+919000000004,8856,0,1705327440,,,,,0.018,0.018,88.56,
pay_EH24011800006,payment,960000,INR,captured,order_EH24011800006,inv_EH24011800006,Online electronics order,upi,false,partial,66000,true,customer6@example.com,+919000000005,17280,0,1705590300,,,,,0.018,0.018,172.8,
pay_EH24012600007,payment,576000,INR,captured,order_EH24012600007,inv_EH24012600007,Online electronics order,upi,false,null,0,true,customer7@example.com,+919000000006,10368,0,1706285160,,,,,0.018,0.018,103.68,
pay_EH24011600008,payment,874000,INR,captured,order_EH24011600008,inv_EH24011600008,Online electronics order,card,false,null,0,true,customer8@example.com,+919000000007,15732,0,1705424820,card_c232c4660b0c,American Express,credit,,0.018,0.018,157.32,
pay_EH24012000009,payment,545000,INR,captured,order_EH24012000009,inv_EH24012000009,Online electronics order,card,false,null,0,true,customer9@example.com,+919000000008,9810,0,1705774080,card_1ef98c2463c2,Visa,debit,,0.018,0.018,98.1,
pay_EH24011300010,payment,1892000,INR,captured,order_EH24011300010,inv_EH24011300010,Online electronics order,upi,false,null,0,true,customer10@example.com,+919000000009,34056,0,1705172940,,,,,0.018,0.018,340.56,
pay_EH24010900011,payment,278000,INR,captured,order_EH24010900011,inv_EH24010900011,Online electronics order,netbanking,false,null,0,true,customer11@example.com,+919000000010,5004,0,1704795000,,,,,0.018,0.018,50.04,
pay_EH24010200012,payment,409000,INR,captured,order_EH24010200012,inv_EH24010200012,Online electronics order,upi,false,null,0,true,customer12@example.com,+919000000011,7362,0,1704193860,,,,,0.018,0.018,73.62,
pay_EH24012900013,payment,419000,INR,captured,order_EH24012900013,inv_EH24012900013,Online electronics order,upi,false,null,0,true,customer13@example.com,+919000000012,7542,0,1706530320,,,,,0.018,0.018,75.42,
pay_EH24012400014,payment,722000,INR,captured,order_EH24012400014,inv_EH24012400014,Online electronics order,upi,false,null,0,true,customer14@example.com,+919000000013,12996,0,1706101980,,,,,0.018,0.018,129.96,
pay_EH24010300015,payment,427000,INR,captured,order_EH24010300015,inv_EH24010300015,Online electronics order,card,false,null,0,true,customer15@example.com,+919000000014,7686,0,1704291240,card_190735fe1868,RuPay,debit,,0.018,0.018,76.86,
pay_EH24012100016,payment,337000,INR,captured,order_EH24012100016,inv_EH24012100016,Online electronics order,card,false,null,0,true,customer16@example.com,+919000000015,6066,0,1705850100,card_b0227248983c,MasterCard,debit,,0.018,0.018,60.66,
pay_EH24011600017,payment,540000,INR,captured,order_EH24011600017,inv_EH24011600017,Online electronics order,upi,false,null,0,true,customer17@example.com,+919000000016,9720,0,1705421760,,,,,0.018,0.018,97.2,
pay_EH24011800018,payment,599000,INR,captured,order_EH24011800018,inv_EH24011800018,Online electronics order,upi,false,null,0,true,customer18@example.com,+919000000017,10782,0,1705598220,,,,,0.018,0.018,107.82,
pay_EH24011500019,payment,105000,INR,captured,order_EH24011500019,inv_EH24011500019,Online electronics order,upi,false,null,0,true,customer19@example.com,+919000000018,1889,0,1705342680,,,,,0.018,0.018,18.9,
pay_EH24012900020,payment,341000,INR,captured,order_EH24012900020,inv_EH24012900020,Online electronics order,upi,false,null,0,true,customer20@example.com,+919000000019,6138,0,1706555940,,,,,0.018,0.018,61.38,
pay_EH24011900021,payment,598000,INR,captured,order_EH24011900021,inv_EH24011900021,Online electronics order,card,false,null,0,true,customer21@example.com,+919000000020,10764,0,1705659600,card_d35529d1d0b5,MasterCard,debit,,0.018,0.018,107.64,
pay_EH24013000022,payment,199000,INR,captured,order_EH24013000022,inv_EH24013000022,Online electronics order,wallet,false,null,0,true,customer22@example.com,+919000000021,3582,0,1706613660,,,,,0.018,0.018,35.82,
pay_EH24011600023,payment,397000,INR,captured,order_EH24011600023,inv_EH24011600023,Online electronics order,wallet,false,null,0,true,customer23@example.com,+919000000022,7145,0,1705407720,,,,,0.018,0.018,71.46,
pay_EH24012900024,payment,612000,INR,captured,order_EH24012900024,inv_EH24012900024,Online electronics order,upi,false,null,0,true,customer24@example.com,+919000000023,11016,0,1706534580,,,,,0.018,0.018,110.16,
